packet_id,timestamp_ms,temperature,pressure,voltage,status,wall_time
39,3928,23.2301,1013.3983,3.3377,1,2026-05-27T18:19:28.039342
40,4029,23.2381,1013.3588,3.3159,1,2026-05-27T18:19:28.140203
41,4130,23.1687,1013.4934,3.3219,1,2026-05-27T18:19:28.241126
42,4231,23.1439,1013.342,3.3311,1,2026-05-27T18:19:28.342009
43,4332,23.2515,1013.4897,3.3368,1,2026-05-27T18:19:28.442964
44,4432,23.298,1013.4597,3.3273,1,2026-05-27T18:19:28.543797
45,4533,23.3074,1013.5008,3.3437,1,2026-05-27T18:19:28.644509
46,4634,23.2217,1013.4702,3.3398,1,2026-05-27T18:19:28.745469
47,4735,23.3934,1013.4878,3.342,1,2026-05-27T18:19:28.846580
48,4836,23.224,1013.4448,3.3387,1,2026-05-27T18:19:28.946982
49,4936,23.4385,1013.4789,3.3352,1,2026-05-27T18:19:29.047432
50,5037,23.4896,1013.5517,3.3455,1,2026-05-27T18:19:29.148497
51,5138,23.4172,1013.4936,3.3427,1,2026-05-27T18:19:29.249218
52,5239,23.3823,1013.521,3.3458,1,2026-05-27T18:19:29.350185
53,5339,23.5454,1013.5745,3.3555,1,2026-05-27T18:19:29.450763
54,5440,23.464,1013.5527,3.3445,1,2026-05-27T18:19:29.551523
55,5541,23.3015,1013.6199,3.3433,1,2026-05-27T18:19:29.652017
56,5641,23.6833,1013.5859,3.3394,1,2026-05-27T18:19:29.752205
57,5742,23.6778,1013.6496,3.3575,1,2026-05-27T18:19:29.852950
58,5842,23.6994,1013.6755,3.3313,1,2026-05-27T18:19:29.953451
59,5942,23.6851,1013.5837,3.353,1,2026-05-27T18:19:30.053637
60,6043,23.6059,1013.6143,3.3395,1,2026-05-27T18:19:30.154810
61,6144,23.7393,1013.5775,3.3435,1,2026-05-27T18:19:30.255577
62,6245,23.7539,1013.5957,3.3549,1,2026-05-27T18:19:30.356600
63,6346,23.7596,1013.6411,3.3446,1,2026-05-27T18:19:30.457440
64,6447,23.6765,1013.5827,3.3369,1,2026-05-27T18:19:30.558182
65,6548,23.8077,1013.5907,3.3532,1,2026-05-27T18:19:30.659227
66,6649,23.638,1013.6808,3.3514,1,2026-05-27T18:19:30.760265
67,6750,23.8426,1013.6336,3.3555,1,2026-05-27T18:19:30.860936
68,6850,23.9458,1013.674,3.348,1,2026-05-27T18:19:30.961644
69,6951,24.0057,1013.6475,3.3414,1,2026-05-27T18:19:31.062527
70,7052,23.8452,1013.6498,3.3317,1,2026-05-27T18:19:31.163522
71,7153,23.932,1013.7078,3.344,1,2026-05-27T18:19:31.264340
72,7254,23.9528,1013.7874,3.3495,1,2026-05-27T18:19:31.365466
73,7355,24.094,1013.7398,3.3552,1,2026-05-27T18:19:31.465942
74,7455,23.9703,1013.6859,3.3603,1,2026-05-27T18:19:31.566655
75,7556,24.1835,1013.7698,3.3561,1,2026-05-27T18:19:31.667281
76,7657,24.2077,1013.7393,3.3656,1,2026-05-27T18:19:31.768326
77,7758,23.9905,1013.6412,3.3519,1,2026-05-27T18:19:31.869038
78,7858,24.0775,1013.7979,3.3687,1,2026-05-27T18:19:31.969503
79,7959,24.2072,1013.7845,3.3545,1,2026-05-27T18:19:32.070308
80,8060,24.1367,1013.7203,3.3503,1,2026-05-27T18:19:32.170925
81,8160,24.1413,1013.7737,3.3519,1,2026-05-27T18:19:32.271420
82,8261,24.2768,1013.8127,3.3445,1,2026-05-27T18:19:32.372126
83,8362,24.0756,1013.8511,3.354,1,2026-05-27T18:19:32.472992
84,8462,24.3051,1013.8359,3.3545,1,2026-05-27T18:19:32.573816
85,8563,24.2754,1013.9124,3.3553,1,2026-05-27T18:19:32.674592
86,8664,24.3344,1013.8221,3.3443,1,2026-05-27T18:19:32.775412
87,8765,24.1735,1013.8323,3.3502,1,2026-05-27T18:19:32.876485
88,8866,24.3214,1013.8708,3.3561,1,2026-05-27T18:19:32.977741
89,8967,24.346,1013.879,3.3608,1,2026-05-27T18:19:33.078426
90,9068,24.5618,1013.8278,3.3278,1,2026-05-27T18:19:33.179549
91,9169,24.3314,1013.9102,3.3653,1,2026-05-27T18:19:33.280377
92,9269,24.399,1014.0055,3.342,1,2026-05-27T18:19:33.380611
93,9371,24.4521,1013.9002,3.3382,1,2026-05-27T18:19:33.481664
94,9471,24.4736,1013.9555,3.3475,1,2026-05-27T18:19:33.581902
95,9571,24.3925,1013.8907,3.3595,1,2026-05-27T18:19:33.682271
96,9671,24.534,1014.0199,3.3445,1,2026-05-27T18:19:33.782645
97,9772,24.4082,1013.9896,3.3373,1,2026-05-27T18:19:33.883198
98,9872,24.4505,1013.9464,3.3479,1,2026-05-27T18:19:33.983635
99,9973,24.4123,1014.0125,3.3392,1,2026-05-27T18:19:34.084150
